tweet_id,tweet_text,clean_text,label,priority_level,priority_score,true_label,predicted_label,prediction_confidence,true_label_confidence,label_correct,true_priority_level,true_priority_score,predicted_priority_level,predicted_priority_score,priority_correct,priority_signed_error,priority_distance,under_prioritised,over_prioritised,severe_priority_error
593106744517099520,RT @TheEthanH26: Pray for Nepal  Pray for Baltimore  Pray for the homeless people sleeping 100 feet away from you  Pray for a change in the…,RT USER : Pray for Nepal Pray for Baltimore Pray for the homeless people sleeping 100 feet away from you Pray for a change in the…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,sympathy_and_emotional_support,0.9522785,0.9522785,True,low,4,low,4,True,0,0,False,False,False
592384707205144576,British archeologist 'terrified' after narrowly escaping death in Nepal earthquake http://t.co/en95LJXFwX http://t.co/xjCod1mYy3,British archeologist 'terrified' after narrowly escaping death in Nepal earthquake URL URL,injured_or_dead_people,high,1,injured_or_dead_people,missing_trapped_or_found_people,0.7658843,0.09463609,False,high,1,high,1,True,0,0,False,False,False
592707878919786497,RT @Fargo_CHARISM: Our thoughts are with Nepal - many neighbors are originally from Nepal.  6 easy ways to contribute to relief efforts: ht…,RT USER : Our thoughts are with Nepal - many neighbors are originally from Nepal. 6 easy ways to contribute to relief efforts: ht…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,donation_needs_or_offers_or_volunteering_services,0.8269009,0.034329038,False,low,4,medium,3,False,-1,1,False,True,False
592601585475145728,Experts had long warned Nepal was ripe for disaster  http://t.co/BnzHZZBBD3 #NepalEarthquake http://t.co/7xttPkXcVp,Experts had long warned Nepal was ripe for disaster URL NepalEarthquake URL,caution_and_advice,medium_high,2,caution_and_advice,other_useful_information,0.6609238,0.05962146,False,medium_high,2,medium,3,False,1,1,True,False,False
592147611894833152,I hope all these amazing temples I've visited can be rebuilt and the casualties are minimal. The world loves you Nepal :) #NepalEarthquake,I hope all these amazing temples I've visited can be rebuilt and the casualties are minimal. The world loves you Nepal :) NepalEarthquake,other_useful_information,medium,3,other_useful_information,sympathy_and_emotional_support,0.5859789,0.06950907,False,medium,3,low,4,False,1,1,True,False,False
592344582983057408,RT @VVSLaxman281: Really proud of the Indian Govt&amp;Indian Air Force for their all out support to Nepal at this hour of grief and tragedy. #N…,RT USER : Really proud of the Indian Govt&amp;Indian Air Force for their all out support to Nepal at this hour of grief and tragedy. N…,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,sympathy_and_emotional_support,0.8499501,0.8499501,True,low,4,low,4,True,0,0,False,False,False
592340951357468672,"#retweet: RT AJENews: Aftershocks reported as death toll in Nepal quake hits 2,430 killed http://t.co/IEHdsT726w http://t.co/4y1PzyLSae","retweet: RT AJENews: Aftershocks reported as death toll in Nepal quake hits 2,430 killed URL URL",injured_or_dead_people,high,1,injured_or_dead_people,injured_or_dead_people,0.96373606,0.96373606,True,high,1,high,1,True,0,0,False,False,False
593825567948038144,"RT @UN: NepalQuake: Despite heavy rain, @WFP completed food distributions in Gorkha District. http://t.co/R4FG4tqywv http://t.co/0rSWIlq3G9","RT USER : NepalQuake: Despite heavy rain, USER completed food distributions in Gorkha District. URL URL",donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.59663945,0.59663945,True,medium,3,medium,3,True,0,0,False,False,False
593184937047494657,RT @JohnKerry: Just announced U.S. Is providing an additional $9 million for #NepalEarthquake response and recovery efforts. #WeStandwithNe…,RT USER : Just announced U.S. Is providing an additional $9 million for NepalEarthquake response and recovery efforts. WeStandwithNe…,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.85559946,0.85559946,True,medium,3,medium,3,True,0,0,False,False,False
592293901278572544,"RT @WorldVisionUK: #NepalQuake: #WorldVision is planning to respond in its initial phase w first aid, sleeping mats, blankets, shelter, pro…","RT USER : NepalQuake: WorldVision is planning to respond in its initial phase w first aid, sleeping mats, blankets, shelter, pro…",donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.82232016,0.82232016,True,medium,3,medium,3,True,0,0,False,False,False
593138710750883840,Delaware pair to join efforts in Nepal as relief pours in http://t.co/lLrfg5ZBKW,Delaware pair to join efforts in Nepal as relief pours in URL,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.86611205,0.86611205,True,medium,3,medium,3,True,0,0,False,False,False
592322469874237440,RT @anooppr: @bengalkatlady @_PixieStyx_ @fabfrankiee Nepal landmarks: Before and after the earthquake: http://t.co/byFoK9IQaQ #PrayForNepal,RT USER : USER USER USER Nepal landmarks: Before and after the earthquake: URL PrayForNepal,infrastructure_and_utilities_damage,medium_high,2,infrastructure_and_utilities_damage,infrastructure_and_utilities_damage,0.7675146,0.7675146,True,medium_high,2,medium_high,2,True,0,0,False,False,False
592330486069891073,RT @TheScriptPt: The Script apoiam o Nepal http://t.co/NqyTqIOeTb via @weebly,RT USER : The Script apoiam o Nepal URL via USER,other_useful_information,medium,3,other_useful_information,other_useful_information,0.43948674,0.43948674,True,medium,3,medium,3,True,0,0,False,False,False
592645260880281600,RT @toyubomm: #SingForNepal charity concert PRAY for NEPAL http://t.co/NViVYC45bT #pantip via @pantip1996,RT USER : SingForNepal charity concert PRAY for NEPAL URL pantip via USER,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,sympathy_and_emotional_support,0.84307075,0.08799519,False,medium,3,low,4,False,1,1,True,False,False
592176604324888576,"RT @db_is_db: We cannot prevent natural disasters, but we can prevent #SoulVultures. Gorkhas died for India, now our turn to help Nepal bou…","RT USER : We cannot prevent natural disasters, but we can prevent SoulVultures. Gorkhas died for India, now our turn to help Nepal bou…",other_useful_information,medium,3,other_useful_information,donation_needs_or_offers_or_volunteering_services,0.4637736,0.2508609,False,medium,3,medium,3,True,0,0,False,False,False
593188767223123968,RT @Deanogormano: Please help the people of Kathmandu and nepal. http://t.co/y0u4cgQEvc,RT USER : Please help the people of Kathmandu and nepal. URL,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,sympathy_and_emotional_support,0.51724374,0.37306264,False,medium,3,low,4,False,1,1,True,False,False
592700919109791744,RT @AndrewDesjardin: Please share this photo. If you have any information I will pass it on to their families! #NepalEarthquake http://t.co…,RT USER : Please share this photo. If you have any information I will pass it on to their families! NepalEarthquake URL,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,sympathy_and_emotional_support,0.509353,0.104428925,False,high,1,low,4,False,3,3,True,False,True
592343803979124737,"RT @BBCBreaking: Aftershock in Kathmandu region measured 6.7 magnitude, US Geological Survey says http://t.co/xoixJwvUcW","RT USER : Aftershock in Kathmandu region measured 6.7 magnitude, US Geological Survey says URL",other_useful_information,medium,3,other_useful_information,other_useful_information,0.6937004,0.6937004,True,medium,3,medium,3,True,0,0,False,False,False
593164532740141056,RT @LaurieHosken: A list of organizations helping Nepal &amp; other affected areas http://t.co/PIcBlsf5Em via @mashable,RT USER : A list of organizations helping Nepal &amp; other affected areas URL via USER,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.8618928,0.8618928,True,medium,3,medium,3,True,0,0,False,False,False
592126024437125121,My thoughts and prayers to everyone in Nepal.,My thoughts and prayers to everyone in Nepal.,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,sympathy_and_emotional_support,0.9476139,0.9476139,True,low,4,low,4,True,0,0,False,False,False
592750556873121794,RT @Andreas_Juul: .@GaryLineker Support our #NepalEarthquake appeal here: http://t.co/ZHE1nViBN6 and help us build back better and safer sc…,RT USER : . USER Support our NepalEarthquake appeal here: URL and help us build back better and safer sc…,donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,donation_needs_or_offers_or_volunteering_services,0.7471852,0.7471852,True,medium,3,medium,3,True,0,0,False,False,False
