# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
503.0000 HM7 132990 2 182.0000 p15 r75 296 N p15->v81->r75
510.0000 HM6 420844 3 244.0000 p15 r61 295 N p15->p14->p50->r61
616.0000 HM9 411603 2 199.0000 p34 r60 296 N p34->v93->r60
1143.0000 HM14 405435 2 495.0000 p1 r73 291 N p1->v81->r73
1207.0000 HM1 144841 1 1163.0000 p21 r66 280 N p21->r66
1248.0000 HM3 309675 1 1106.0000 p57 r75 281 N p57->r75
1362.0000 HM12 196112 2 807.0000 p46 r66 286 N p46->v89->r66
1370.0000 HM23 214313 3 321.0000 p24 r79 294 N p24->p32->v80->r79
1467.0000 HM15 181071 2 782.0000 p34 r69 286 N p34->v81->r69
1472.0000 HM17 201027 2 696.0000 p37 r78 288 N p37->v85->r78
1510.0000 HM10 290273 2 1054.0000 p17 r74 282 N p17->v85->r74
1513.0000 HM24 113438 3 418.0000 p52 r74 293 N p52->p7->v85->r74
1543.0000 HM27 481973 3 309.0000 p6 r70 294 N p6->p49->p13->r70
1568.0000 HM33 220232 1 71.0000 p42 r65 298 N p42->r65
1731.0000 HM20 104870 2 846.0000 p31 r67 285 N p31->v92->r67
1762.0000 HM4 158799 2 1561.0000 p25 r61 273 N p25->p51->r61
1953.0000 HM41 160254 3 132.0000 p51 r68 297 N p51->r61->v93->r68
1979.0000 HM26 225834 2 789.0000 p12 r69 286 N p12->p57->r69
2068.0000 HM34 245826 2 537.0000 p52 r60 291 N p52->v85->r60
2105.0000 HM22 459935 2 1111.0000 p21 r71 281 N p21->v81->r71
2148.0000 HM32 338883 3 711.0000 p55 r60 288 N p55->r63->v83->r60
2235.0000 HM30 232834 3 875.0000 p46 r73 285 N p46->v84->p37->r73
2303.0000 HM8 188404 2 1923.0000 p1 r67 267 N p1->r74->r67
2318.0000 HM16 200456 1 1591.0000 p9 r60 273 N p9->r60
2379.0000 HM18 204873 3 1556.0000 p18 r62 274 N p18->p17->v87->r62
2390.0000 HM19 140398 3 1535.0000 p51 r65 274 N p51->r71->r74->r65
2553.0000 HM53 168101 3 192.0000 p55 r72 296 N p55->p51->v86->r72
2809.0000 HM46 336908 2 776.0000 p10 r70 287 N p10->p1->r70
2824.0000 HM63 113829 2 9.0000 p51 r69 299 N p51->p55->r69
2834.0000 HM54 429478 2 427.0000 p15 r73 292 N p15->r75->r73
2838.0000 HM57 453848 2 283.0000 p37 r71 295 N p37->r70->r71
2901.0000 HM65 457855 1 10.0000 p10 r71 299 N p10->r71
2913.0000 HM13 276041 2 2320.0000 p17 r64 261 N p17->p1->r64
2930.0000 HM55 118608 3 465.0000 p41 r65 292 N p41->v80->p24->r65
3084.0000 HM45 224554 3 1096.0000 p5 r67 281 N p5->p45->v91->r67
3098.0000 HM66 358677 2 158.0000 p43 r77 297 N p43->v84->r77
3219.0000 HM58 248263 2 630.0000 p21 r75 289 N p21->v89->r75
3305.0000 HM21 451644 2 2364.0000 p40 r64 260 N p40->p34->r64
3336.0000 HM52 260522 2 1014.0000 p18 r66 283 N p18->p24->r66
3390.0000 HM49 278903 1 1211.0000 p18 r66 279 N p18->r66
3461.0000 HM73 354985 2 179.0000 p57 r71 297 N p57->v86->r71
3537.0000 HM35 403530 2 1965.0000 p59 r64 267 N p59->p25->r64
3578.0000 HM11 238913 2 3066.0000 p37 r79 248 N p37->v83->r79
3680.0000 HM59 332124 2 1052.0000 p38 r75 282 N p38->v84->r75
3721.0000 HM37 387677 1 2049.0000 p2 r78 265 N p2->r78
3763.0000 HM42 139880 1 1889.0000 p25 r68 268 N p25->r68
3807.0000 HM48 433561 2 1681.0000 p44 r62 271 N p44->v88->r62
3843.0000 HM51 331138 2 1573.0000 p55 r66 273 N p55->v93->r66
3908.0000 HM78 176432 2 396.0000 p24 r61 293 N p24->p39->r61
3940.0000 HM38 163591 1 2232.0000 p47 r74 262 N p47->r74
4004.0000 HM75 181368 3 639.0000 p49 r78 289 N p49->v81->p57->r78
